downstep	lexical_tone	ip_boundary	vowel_number_in_utterance	phone_label	text_name	word_label	utterance_label	utterance_num_within_text
	H		1	e	sxw-T0003-texts-un	le	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	H		2	a	sxw-T0003-texts-un	na	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	Ø		3	e	sxw-T0003-texts-un	je	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	Ø		4	ɔ	sxw-T0003-texts-un	nɔ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	L		5	ɛ	sxw-T0003-texts-un	gbɛ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	Ø		6	a	sxw-T0003-texts-un	aji	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	Ø		7	i	sxw-T0003-texts-un	aji	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	H		8	o	sxw-T0003-texts-un	ɖo	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
!	H	utt%	9	ɛ	sxw-T0003-texts-un	xɛ	le nã je nɔ̃ gbɛ̃ aji ɖo xɛ	2
	H		1	a	sxw-T0003-texts-un	na	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	Ø		2	a	sxw-T0003-texts-un	aji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	Ø		3	i	sxw-T0003-texts-un	aji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
!	H		4	a	sxw-T0003-texts-un	la	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	H		5	ɛ	sxw-T0003-texts-un	sjɛ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	L	top%	6	ɔ	sxw-T0003-texts-un	vɔ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	Ø		7	e	sxw-T0003-texts-un	je	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	Ø		8	a	sxw-T0003-texts-un	na	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	L		9	a	sxw-T0003-texts-un	va	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	Ø		10	i	sxw-T0003-texts-un	ji	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	L	utt%	11	ɛ	sxw-T0003-texts-un	gbɛ	nã aji la sjɛ̃ vɔ je nã va ji gbɛ	3
	H		1	e	sxw-T0003-texts-un	e	e nã bja je ba gbɛ̃	4
	Ø		2	a	sxw-T0003-texts-un	na	e nã bja je ba gbɛ̃	4
	Ø	%	3	a	sxw-T0003-texts-un	bja	e nã bja je ba gbɛ̃	4
	Ø		4	e	sxw-T0003-texts-un	je	e nã bja je ba gbɛ̃	4
	Ø		5	a	sxw-T0003-texts-un	ba	e nã bja je ba gbɛ̃	4
	L	utt%	6	ɛ	sxw-T0003-texts-un	gbɛ	e nã bja je ba gbɛ̃	4
	Ø		1	e	sxw-T0003-texts-un	je	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	L		2	ɛ	sxw-T0003-texts-un	gbɛ	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	L	top%	3	ɔ	sxw-T0003-texts-un	vɔ	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		4	e	sxw-T0003-texts-un	je	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		5	a	sxw-T0003-texts-un	na	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	L		6	a	sxw-T0003-texts-un	va	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		7	i	sxw-T0003-texts-un	ji	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	H		8	ɔ	sxw-T0003-texts-un	sɔ	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		9	ɔ	sxw-T0003-texts-un	kɔ	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	L		10	o	sxw-T0003-texts-un	do	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	H		11	i	sxw-T0003-texts-un	fi	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	H	%	12	e	sxw-T0003-texts-un	ɖe	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	H		13	a	sxw-T0003-texts-un	a	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		14	o	sxw-T0003-texts-un	bo	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
!	HØ	utt%	15	ɛ	sxw-T0003-texts-un	xwjɛ	je gbɛ̃ vɔ je nã va ji sɔ kɔ̃ do fi ɖe a bo xwjɛ	5
	Ø		1	e	sxw-T0003-texts-un	je	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	HØ		2	ɛ	sxw-T0003-texts-un	xwjɛ	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
!	H		3	a	sxw-T0003-texts-un	na	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	H		4	e	sxw-T0003-texts-un	e	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	H		5	u	sxw-T0003-texts-un	xu	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	L		6	ɔ	sxw-T0003-texts-un	vɔ	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		7	e	sxw-T0003-texts-un	je	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		8	a	sxw-T0003-texts-un	na	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	L		9	a	sxw-T0003-texts-un	va	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	H		10	ɛ	sxw-T0003-texts-un	bɛ	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	H		11	o	sxw-T0003-texts-un	do	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		12	a	sxw-T0003-texts-un	ati	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		13	i	sxw-T0003-texts-un	ati	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø	%	14	ɛ	sxw-T0003-texts-un	mɛ	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	H		15	a	sxw-T0003-texts-un	a	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		16	o	sxw-T0003-texts-un	bo	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
!	HØ	utt%	17	e	sxw-T0003-texts-un	twe	je xwjɛ nã e xu vɔ je nã va bɛ do ati mɛ̃ a bo twe	6
	Ø		1	e	sxw-T0003-texts-un	je	je twe vɔ je nɔ̃ va fwi	7
	HØ		2	e	sxw-T0003-texts-un	twe	je twe vɔ je nɔ̃ va fwi	7
	L	top%	3	ɔ	sxw-T0003-texts-un	vɔ	je twe vɔ je nɔ̃ va fwi	7
	Ø		4	e	sxw-T0003-texts-un	je	je twe vɔ je nɔ̃ va fwi	7
	Ø		5	ɔ	sxw-T0003-texts-un	nɔ	je twe vɔ je nɔ̃ va fwi	7
	L		6	a	sxw-T0003-texts-un	va	je twe vɔ je nɔ̃ va fwi	7
	HØ	utt%	7	i	sxw-T0003-texts-un	fwi	je twe vɔ je nɔ̃ va fwi	7
	Ø		1	e	sxw-T0003-texts-un	je	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	L		2	ɔ	sxw-T0003-texts-un	mɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	HØ		3	i	sxw-T0003-texts-un	fwi	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	L	top%	4	ɔ	sxw-T0003-texts-un	vɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø		5	e	sxw-T0003-texts-un	je	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø		6	a	sxw-T0003-texts-un	na	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H		7	ɔ	sxw-T0003-texts-un	trɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H		8	ɔ	sxw-T0003-texts-un	sɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H		9	a	sxw-T0003-texts-un	a	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø		10	o	sxw-T0003-texts-un	bo	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
!	H		11	ɔ	sxw-T0003-texts-un	sɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H	%	12	a	sxw-T0003-texts-un	xwja	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	L		13	ɔ	sxw-T0003-texts-un	gbɔxwe	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H		14	e	sxw-T0003-texts-un	gbɔxwe	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø		15	a	sxw-T0003-texts-un	na	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
!	H		16	ɔ	sxw-T0003-texts-un	sɔ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	H		17	o	sxw-T0003-texts-un	do	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	L		18	ɔ	sxw-T0003-texts-un	dɔkpo	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø		19	o	sxw-T0003-texts-un	dɔkpo	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
	Ø	utt%	20	ɛ	sxw-T0003-texts-un	mɛ	je mɔ̃ fwi vɔ je nã trɔ sɔ a bo sɔ xwja gbɔxwe nã sɔ do dɔkpo mɛ	8
			1	e	sxw-T0038-texts-un	le	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		2	e	sxw-T0038-texts-un	gbe	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		3	o	sxw-T0038-texts-un	ɖokpo	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		4	o	sxw-T0038-texts-un	ɖokpo	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		5	ɛ	sxw-T0038-texts-un	wɛ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		6	a	sxw-T0038-texts-un	ɦanɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		7	ɔ	sxw-T0038-texts-un	ɦanɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		8	ɛ	sxw-T0038-texts-un	bɛ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		9	i	sxw-T0038-texts-un	dwi	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		10	ɔ	sxw-T0038-texts-un	gbɔɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		11	ɔ	sxw-T0038-texts-un	gbɔɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		12	o	sxw-T0038-texts-un	ohu	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		13	u	sxw-T0038-texts-un	ohu	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		14	o	sxw-T0038-texts-un	bo	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		15	o	sxw-T0038-texts-un	lo	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L		16	a	sxw-T0038-texts-un	va	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		17	i	sxw-T0038-texts-un	ji	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		18	ɔ	sxw-T0038-texts-un	nɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		19	ɛ	sxw-T0038-texts-un	wɛ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		20	e	sxw-T0038-texts-un	e	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		21	o	sxw-T0038-texts-un	so	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		22	o	sxw-T0038-texts-un	omɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
!	H		23	ɔ	sxw-T0038-texts-un	omɔ	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	H		24	a	sxw-T0038-texts-un	pjaa	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	L	utt%	25	a	sxw-T0038-texts-un	pjaa	le gbe ɖokpo wɛ ɦanɔ̃ bɛ dwĩ gbɔ̃ɔ̃ ohũ bo lo va ji nɔ̃ wɛ e so omɔ̃ pjaa	1
	Ø		1	ɛ	sxw-T0038-texts-un	wɛ	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		2	ɛ	sxw-T0038-texts-un	ɛmɛ	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		3	ɛ	sxw-T0038-texts-un	ɛmɛ	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	H		4	i	sxw-T0038-texts-un	ni	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		5	e	sxw-T0038-texts-un	le	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
!	H		6	i	sxw-T0038-texts-un	fi	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	H		7	a	sxw-T0038-texts-un	la	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø	top%	8	e	sxw-T0038-texts-un	je	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		9	a	sxw-T0038-texts-un	axwa	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	H		10	a	sxw-T0038-texts-un	axwa	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		11	i	sxw-T0038-texts-un	ɖi	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	L		12	o	sxw-T0038-texts-un	ɦoo	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	L	utt%	13	o	sxw-T0038-texts-un	ɦoo	wɛ ɛmɛ̃ nĩ le fi la je axwa ɖi ɦoo	2
	Ø		1	ɛ	sxw-T0038-texts-un	wɛ	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	H		2	e	sxw-T0038-texts-un	e	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	Ø		3	ɔ	sxw-T0038-texts-un	lɔ	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	Ø		4	u	sxw-T0038-texts-un	tu	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	Ø		5	a	sxw-T0038-texts-un	naɖe	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
!	H	%	6	e	sxw-T0038-texts-un	naɖe	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	L		7	e	sxw-T0038-texts-un	he	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	Ø		8	o	sxw-T0038-texts-un	so	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	Ø		9	o	sxw-T0038-texts-un	omɔ	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
	H	top%	10	ɔ	sxw-T0038-texts-un	omɔ	wɛ e lɔ tũ nãɖe he so omɔ axwa bo ɖi he so omɔ̃ axwa bo ɖi	3
